02WI,small_airport,Beer Airport,45.0318985,-92.65579987,920,NA,US,Hudson
02WN,small_airport,Fowler Field,48.74580002,-119.3190002,2150,NA,US,Tonasket
02XA,small_airport,JLS Farms Airport,33.591319,-95.882864,675,NA,US,Honey Grove
03AZ,small_airport,Thompson International Aviation Airport,31.430971,-110.088087,4275,NA,US,Hereford
03CO,small_airport,Kugel-Strong Airport,40.211608,-104.744781,4950,NA,US,Platteville
03FA,small_airport,Lake Persimmon Airstrip,27.35309982,-81.40809631,70,NA,US,Lake Placid
03GA,small_airport,HIA Airport,32.561626,-81.85509,238,NA,US,Statesboro
03ID,small_airport,Flying Y Ranch Airport,44.793965,-116.531543,3180,NA,US,Council
03II,small_airport,Davis Field Ultralightport,37.9620018,-87.77890015,465,NA,US,Mount Vernon
03IL,small_airport,Wix Airport,41.40230179,-87.8167038,750,NA,US,Monee
03IN,small_airport,Heinzman Airport,40.18000031,-86.01249695,850,NA,US,Arcadia
03KY,small_airport,Flying H Farms Airport,37.79169846,-87.54139709,385,NA,US,Henderson
03MA,small_airport,Hadley Airport,42.393431,-72.551553,150,NA,US,Hadley
03ME,small_airport,Maple Ridge Airport,44.08420181,-70.62729645,556,NA,US,Harrison
03MN,small_airport,Nauerth Land Ranch Airport,43.62519836,-95.22470093,1435,NA,US,Lakefield
03MT,small_airport,Cascade Field,47.267327,-111.71748,3580,NA,US,Cascade
03MU,small_airport,McDonnell Airport,38.4925,-94.412498,874,NA,US,Archie
03N,small_airport,Utirik Airport,11.222,169.852005,4,OC,MH,Utirik Island
03NC,small_airport,Pilots Ridge Airport,34.10430145,-77.90419769,35,NA,US,Carolina Beach
03ND,small_airport,Olafson Brothers Airport,48.62639999,-97.82900238,1045,NA,US,Edinburg
03NE,small_airport,Hyde Ranch Airport,41.54639816,-99.33119965,2430,NA,US,Comstock
03NV,small_airport,Llama Ranch Airport,40.58440018,-115.2979965,6120,NA,US,Ruby Valley
03NY,small_airport,Talmage Field,40.958308,-72.717326,95,NA,US,Riverhead
03OH,small_airport,Gibbs Field,41.416933,-83.018339,580,NA,US,Fremont
03OK,small_airport,Sahoma Lake Airport,36.041259,-96.161517,890,NA,US,Sapulpa
03OL,small_airport,Bluebird Airport,35.012334,-97.702735,1232,NA,US,Alex
03OR,small_airport,Powwatka Ridge Airport,45.85540009,-117.4840012,3340,NA,US,Troy
03PR,small_airport,Sun View Field Airport,39.065947,-94.921703,980,NA,US,Bonner Springs
03S,small_airport,Sandy River Airport,45.40179825,-122.2289963,704,NA,US,Sandy
03TE,small_airport,Barronena Ranch Airport,27.490812,-98.669615,600,NA,US,Hebbronville
03TT,small_airport,Brazos Polo Airport,29.632117,-95.932481,117,NA,US,Orchard
03UT,small_airport,AZ Minerals Corporation Airport,37.114384,-109.99014,5315,NA,US,Mexican Hat
03WA,small_airport,Spangle Field,47.40819931,-117.3720016,2440,NA,US,Spangle
03WI,small_airport,Zink Airport,44.028873,-88.883945,880,NA,US,Berlin
03WN,small_airport,Aerostone Ranch Airport,45.875,-120.6699982,2320,NA,US,Goldendale
03XS,small_airport,Creekside Airport,31.31809998,-100.7539978,2100,NA,US,Mertzon
04AA,small_airport,Flying W Ranch Airport,60.535833,-150.811387,250,NA,US,Soldotna
04CA,small_airport,Gray Butte Field,34.5639,-117.675003,3020,NA,US,Palmdale
04CL,small_airport,Hunt's Sky Ranch Airport,33.08169937,-116.4410019,2310,NA,US,Julian
04FA,small_airport,Richards Field,25.55870056,-80.51509857,9,NA,US,Homestead
04FL,small_airport,Cross Creek Farms Airport,29.240353,-81.222525,30,NA,US,Ormond Beach
04I,small_airport,Columbus Southwest Airport,39.91120148,-83.188797,920,NA,US,Columbus
04IA,small_airport,Middlekoop Airport,41.0882988,-92.05460358,801,NA,US,Packwood
04ID,small_airport,Lanham Field,43.877015,-116.538365,2343,NA,US,Emmett
04IL,small_airport,Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378,755,NA,US,Hudson
04IS,small_airport,Van Gorder Airport,40.17860031,-88.56900024,728,NA,US,Mansfield
04KY,small_airport,Natchez Trace Farm Airport,37.13510132,-85.78939819,710,NA,US,Hiseville
04LL,small_airport,Brunner Airport,42.13610077,-88.28759766,750,NA,US,West Dundee
04MA,small_airport,Goddard Field,42.810908,-71.140959,200,NA,US,Haverhill
04ME,small_airport,Beech Hill Airport,44.66669846,-69.89389801,625,NA,US,Mercer
04MI,small_airport,Rapids Airway Airport,42.53450012,-84.62830353,880,NA,US,Eaton Rapids
04MN,small_airport,Helblad Airport,47.9858017,-94.68689728,1195,NA,US,Kelliher
04MO,small_airport,Airpark Private Airport,39.30120087,-91.45149994,767,NA,US,Vandalia
04MS,small_airport,Nick's Flying Service Inc Airport,32.940537,-90.836683,100,NA,US,Rolling Fork
04MT,small_airport,Pluhar Airport,47.13749778,-106.488095,2715,NA,US,Cohagen
04NE,small_airport,Mc Connell Field Airport,41.15999985,-101.2990036,3035,NA,US,Sarben
04NJ,small_airport,Emmanuel Airport,39.59680176,-75.23349762,155,NA,US,Elmer
04NV,small_airport,Kingston Ranch Airport,35.75550079,-115.6650009,2620,NA,US,Sandy Valley
04NY,small_airport,Klaverack Airport,42.26229858,-73.69619751,250,NA,US,Hudson
04OR,small_airport,Collins Landing Strip,44.74990082,-120.2009964,1500,NA,US,Mitchell
04TN,small_airport,Hensley Airpark,36.18330002,-82.67890167,1430,NA,US,Chuckey
04TT,small_airport,4D Ranch Airport,29.713072,-99.545642,1550,NA,US,Utopia
04TX,small_airport,Pocock Airport,31.732779,-97.369326,565,NA,US,China Spring
04UT,small_airport,Navajo Mountain Airport,37.006689,-110.794701,6160,NA,US,Navajo Mountain
04V,small_airport,Saguache Municipal Airport,38.0990833,-106.1743889,7826,NA,US,Saguache
04VG,small_airport,Manquin Flight Park Ultralightport,37.706546,-77.201621,50,NA,US,Manquin
04VT,small_airport,Lightning Bolt Field Airport,44.40110016,-72.26360321,2156,NA,US,Cabot
04W,small_airport,Field of Dreams Airport,46.0228,-92.895401,1021,NA,US,Hinckley
04WA,small_airport,Ox Meadows Airport,47.581795,-117.437131,2345,NA,US,Spokane
04WI,small_airport,Dutch Gap Airstrip,42.52339935,-88.01670074,760,NA,US,Bristol
04WN,small_airport,Stillwater Creek Airport,46.95835,-119.63864,1510,NA,US,Royal City
04XA,small_airport,Pecan Field,33.283933,-98.402861,1130,NA,US,Jermyn
05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,620,NA,US,Palmer
05AR,small_airport,Ozark Skies Airpark,36.000633,-93.57025,1900,NA,US,Kingston
05CL,small_airport,Pope Valley Airport,38.6106987,-122.3909988,618,NA,US,Pope Valley
05CO,small_airport,Rancho de Aereo Airport,40.214984,-104.984423,4978,NA,US,Mead
05FA,small_airport,Melanie's Airport,30.91889954,-86.21829987,295,NA,US,Florala
05FL,small_airport,Charlton Strip,26.52018,-81.41031,36,NA,US,La Belle
05GA,small_airport,Raju Airport,32.07139969,-84.71440125,625,NA,US,Richland
05IA,small_airport,Spotts Field,43.13750076,-93.06829834,1155,NA,US,Nora Springs
05ID,small_airport,Running Creek Ranch Airport,45.914101,-114.835999,2969,NA,US,Elk City
05IL,small_airport,Classic Landings Airport,41.15670013,-88.01670074,635,NA,US,Bonfield
05IN,small_airport,Cooper Airport,39.64199829,-86.5042038,860,NA,US,Belleville
05IS,small_airport,Hardy Airport,39.72589874,-89.26399994,605,NA,US,Mount Auburn
05KS,small_airport,Darbro Field,37.26620102,-95.959198,945,NA,US,Elk City
05KT,small_airport,High Point Farm Airport,38.187091,-84.93011,880,NA,US,Frankfort
05KY,small_airport,Cartersville Airport,37.53575,-84.407303,1070,NA,US,Paint Lick
05LA,small_airport,Greg's Flying Service Airport,32.265301,-91.6978,76,NA,US,Winnsboro
05LS,small_airport,Grass Roots Airport,31.252148,-92.47569,83,NA,US,Alexandria
05MD,small_airport,Breezecroft Airport,39.244232,-76.198661,20,NA,US,Chestertown
05ME,small_airport,Drisko Airport,44.6570015,-67.55919647,70,NA,US,Jonesboro
05MT,small_airport,Jones Landing Airport,45.815368,-111.152163,4364,NA,US,Belgrade
05NE,small_airport,Mc Kay Airport,41.72219849,-98.30899811,2010,NA,US,Spalding
05NV,small_airport,Baker Ranches Airport,39.0311,-114.088219,5180,NA,US,Baker
05OH,small_airport,Eaglecrest Field,40.184513,-81.920564,968,NA,US,Conesville
05OI,small_airport,Dorlon Airpark,41.28839874,-81.96260071,830,NA,US,Columbia Station
05OR,small_airport,Peacock Ranch Airport,45.44428,-117.34722,3500,NA,US,Enterprise
05PS,small_airport,Mills Brothers Airport,40.143075,-77.86221,1210,NA,US,Neelyton
05S,small_airport,Vernonia Airfield,45.85150146,-123.2419968,647,NA,US,Vernonia
05TA,small_airport,Brandes Air Field,29.8090992,-96.26509857,276,NA,US,Sealy
05TE,small_airport,Hilde-Griff Field,30.7220993,-97.79139709,950,NA,US,Georgetown
05TS,small_airport,Dew Drop Airport,33.12929916,-97.3585968,750,NA,US,Justin
05TX,small_airport,Circle A Ranch Airport,32.128974,-97.404582,608,NA,US,Blum
05V,small_airport,Blanca Airport,37.41109848,-105.552002,7720,NA,US,Blanca
05VA,small_airport,Providence Airport,37.2242012,-78.41860199,445,NA,US,Farmville
05WI,small_airport,Ames Private Airport,42.65110016,-88.74590302,958,NA,US,Darien
05WN,small_airport,Flat Creek Field,48.702222,-118.0475,1570,NA,US,Kettle Falls
05XS,small_airport,Johnson Memorial Airport,33.07929993,-91.54319763,105,NA,US,Wilmot
05Y,small_airport,Henning Municipal Airport,46.30379868,-95.4394989,1455,NA,US,Henning
06AA,small_airport,Twisted Sisters Airport,60.540256,-150.813827,260,NA,US,Sterling
06AK,small_airport,June Lake Airpark,61.627619,-149.575331,425,NA,US,Wasilla
06AR,small_airport,Bondair Airport,35.54449844,-92.18489838,499,NA,US,Higden
06CO,small_airport,Jecan Airport,37.38750076,-103.6910019,5100,NA,US,Branson
06FA,small_airport,William P Gwinn Airport,26.90839958,-80.3289032,28,NA,US,Jupiter
06FD,small_airport,Grass Roots Airpark,28.64170074,-81.88500214,105,NA,US,Mascotte
06IA,small_airport,Rich Field,41.84140015,-91.83429718,880,NA,US,Walford
06ID,small_airport,Larkin Airport,43.46269989,-116.3590012,2750,NA,US,Kuna
06IL,small_airport,Humm Airport,41.59949875,-88.86990356,708,NA,US,Earlville
06IS,small_airport,Sinele Strip,40.54639816,-91.27429962,695,NA,US,Nauvoo
06MO,small_airport,Noahs Ark Airport,39.23059845,-94.80439758,755,NA,US,Waldron
06MT,small_airport,Torgerson Airport,48.558696,-112.117095,3541,NA,US,Ethridge
06N,small_airport,Randall Airport,41.431999,-74.391602,523,NA,US,Middletown
06NC,small_airport,Tailwinds Airport,34.82749939,-78.93029785,163,NA,US,St. Pauls
06ND,small_airport,Fitterer's Strip,46.74890137,-101.6689987,2180,NA,US,Glen Ullin
06NH,small_airport,Cole Farm Airport,42.92839813,-70.97309875,160,NA,US,Kensington
06NV,small_airport,Silver Creek Airport,39.098333,-114.150277,5556,NA,US,Baker
06NY,small_airport,Murphy Field,42.836797,-76.437614,1100,NA,US,Auburn
06OH,small_airport,Hal Joy Airfield,41.50979996,-80.59120178,1160,NA,US,Williamsfield
06OI,small_airport,Green Acres Airport,39.73479843,-84.38220215,915,NA,US,New Lebanon
06OR,small_airport,Hayden Mountain Airport,45.46509933,-123.0800018,850,NA,US,Forest Grove
06PA,small_airport,Freefall Oz Airport,41.995792,-78.288152,1440,NA,US,Ceres
06TA,small_airport,Glaser Field,30.90850067,-97.11689758,480,NA,US,Buckholts
06TE,small_airport,Ainsworth Airport,30.31270027,-95.02690125,129,NA,US,Cleveland
06TN,small_airport,Hunter STOLport,35.69729996,-86.95690155,640,NA,US,Columbia
06TT,small_airport,6 Mile Airpark,30.860024,-100.201996,2165,NA,US,Fort McKavett
06TX,small_airport,Diamond N Ranch Airport,30.057919,-95.812489,215,NA,US,Hockley
06VA,small_airport,Mount Horeb Field,38.24900055,-78.8553009,1160,NA,US,Grottoes
06WN,small_airport,Western Airpark,46.92499924,-122.5530014,394,NA,US,Yelm
06XA,small_airport,J & W Windy Hill Airport,33.445914,-96.57079,784,NA,US,Van Alstyne
06XS,small_airport,Campbell Field,33.322933,-97.045019,546,NA,US,Aubrey
06Y,small_airport,Herman Municipal Airport,45.83000183,-96.16059875,1068,NA,US,Herman
07AA,small_airport,Pan Lake Strip Airport,61.695964,-149.954903,357,NA,US,Willow
07AR,small_airport,Morrilton Airport,35.194339,-92.802473,300,NA,US,Morrilton
07B,small_airport,Blue Hill Airport,44.44800186,-68.56970215,360,NA,US,Blue Hill
07CL,small_airport,Richvale Airport,39.49769974,-121.7710037,100,NA,US,Richvale
07CO,small_airport,Comanche Creek Airport,39.2635994,-104.427002,6620,NA,US,Kiowa
07D,small_airport,Tackaberry Airport,43.0644989,-82.72380066,764,NA,US,Avoca
07FA,small_airport,Ocean Reef Club Airport,25.3253994,-80.27480316,8,NA,US,Key Largo
07GA,small_airport,Alcovy Airport,33.674263,-83.764637,750,NA,US,Covington
07IA,small_airport,Hoskins Landing,40.647888,-95.02135,971,NA,US,Shambaugh
07IN,small_airport,Gray Airport,39.57369995,-85.91390228,750,NA,US,Boggstown
07K,small_airport,Central City Municipal - Larry Reineke Field,41.11259842,-98.05169678,1717,NA,US,Central City
07KS,small_airport,Heape Field,37.73419952,-96.93669891,1321,NA,US,Augusta
07KY,small_airport,Blue Lick Airport,38.08060074,-85.69329834,532,NA,US,Louisville
07MD,small_airport,Baugher's Orchard Airport,39.60829926,-77.05190277,700,NA,US,Westminster
07MI,small_airport,Scott Airstrip,43.86420059,-85.02390289,1065,NA,US,Lake
07MN,small_airport,Dairyview Airport,44.05500031,-95.90950012,1680,NA,US,Hadley
